Quinto semestre: 2022-20
CBCA 1061, 01: Historia del Traje en Occidente (Tipo E)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Nota final con aproximación de Rubén	5.00	100.00%	100.00%							
Máxima nota final alcanzable a la fecha	4.75	95.05%	100.00%							
Mínima nota final alcanzable a la fecha	4.75	95.05%	100.00%							
Se ordenan y agrupan estudiantes según nota final. Con eso se asignan notas finales: grupo 1: 5, grupo 2: 4.5, …,grupo 8: 1.5.										
										
ISIS 1106, 02: Lenguajes y Máquinas (LyM) (Tipo I)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Proyect 0: SimpleRobot Interpreter	4.80	96.00%	7.00%	0.21	-0.0140	4.99			7 h y 6 min	10 h y 5 min
Quiz conceptual 1	4.50	90.00%	2.50%	0.08	-0.0125	4.97			2 h y 32 min	3 h y 36 min
Practical quiz 1: Tools for language analysis	5.00	100.00%	7.50%	0.23	0	4.97			7 h y 36 min	10 h y 48 min
Project 1: SimpleRobot parser JavaCC	4.80	96.00%	14.00%	0.42	-0.0280	4.95			14 h y 11 min	20 h y 10 min
Quiz conceptual 2	5.00	100.00%	2.50%	0.08	0	4.95			2 h y 32 min	3 h y 36 min
Practical quiz 3: Moore/Mealy automata	4.90	98.00%	7.50%	0.23	-0.0075	4.94			7 h y 36 min	10 h y 48 min
Proyect 2: Mealy/Moore automaton	5.00	100.00%	7.00%	0.21	0	4.94			7 h y 6 min	10 h y 5 min
Practical quiz 4: Stack automata	5.00	100.00%	7.50%	0.23	0	4.94			7 h y 36 min	10 h y 48 min
Practical quiz 5: Turing machines	5.00	100.00%	7.50%	0.23	0	4.94			7 h y 36 min	10 h y 48 min
Proyect 3: Lexer & Parser using GOLD Automata	4.99	99.80%	7.00%	0.21	-0.0007	4.94			7 h y 6 min	10 h y 5 min
