Segundo semestre: 2021-10
Práctica 5: Segunda ley de Newton (Pivot)	5.00	100.00%	7.69%	0.05
Práctia 6: Fuerzas de fricción (Pivot)	4.70	94.00%	7.69%	0.05
Práctica 7: Aceleración centrípeta (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 8: Teorema trabajo-energía (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 9: Conservación de la energía mecánica (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 10: Conservación del momento lineal (Pivot)	4.90	98.00%	7.69%	0.05
Práctica 12: Rodamiento sin deslizamiento (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 13: Conservación del momento angular (Pivot)	5.00	100.00%	7.69%	0.05
Nota final	4.97	99.38%	100.00%	0.60
Nota final con aproximación a la décima	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
MATE 1105, 18: Álgebra Lineal 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria MATE 1105, 18: Álgebra Lineal 1	4.87	97.40%	20.00%	0.60
Examen acumulativo 1	4.58	91.67%	20.00%	0.60
Examen acumulativo 2	5.00	100.00%	20.00%	0.60
Examen acumulativo 3	5.00	100.00%	20.00%	0.60
Examen final	5.00	100.00%	20.00%	0.60
Nota final	4.89	97.81%	100.00%	3.00
Nota final con aproximación	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
Complementaria MATE 1105, 18: Álgebra Lineal 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Quiz 1	4.50	90.00%	10.00%	0.06
Quiz 3	5.00	100.00%	10.00%	0.06
Quiz 4	4.50	90.00%	10.00%	0.06
Quiz 5	5.00	100.00%	10.00%	0.06
Quiz 6	4.50	90.00%	10.00%	0.06
Quiz 7	5.00	100.00%	10.00%	0.06
Quiz 8	5.00	100.00%	10.00%	0.06
Quiz 9	5.00	100.00%	10.00%	0.06
Quiz 10	5.00	100.00%	10.00%	0.06
Participación complementaria	5.00	100.00%	10.00%	0.06
Quiz 2	3.00 (Peor quiz no cuenta)		0.00%	0.00
Bono	0.02		0.00%	0.00
Nota final	4.85	97.00%	100.00%	0.60
Nota final más bono	4.87	97.40%	100.00%	
Máxima nota final alcanzable a la fecha	4.87	97.40%	100.00%	
Mínima nota final alcanzable a la fecha	4.87	97.40%	100.00%	
				
				
MATE 1214, 35: Cálculo Integral con Ecuaciones Diferenciales	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria MATE 1214, 35: Cálculo Integral con Ecuaciones Diferenciales	5.00	100.00%	15.00%	0.45
Examen parcial 1: Integración	4.60	92.00%	20.00%	0.60
Examen parcial 2: Ecuaciones diferenciales	4.30	86.00%	20.00%	0.60
Examen parcial 3: Sucesiones y series	4.40	88.00%	20.00%	0.60
Examen final	4.80	96.00%	25.00%	0.75
Nota final	4.61	92.20%	100.00%	3.00
Nota final con aproximación a la milésima	4.61	92.20%	100.00%	
Máxima nota final alcanzable a la fecha	4.61	92.20%	100.00%	
Mínima nota final alcanzable a la fecha	4.61	92.20%	100.00%	
				
Complementaria MATE 1214, 35: Cálculo Integral con Ecuaciones Diferenciales	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Quiz 1: Integración	5.00	100.00%	25.00%	0.15
Quiz 3: Series	5.00	100.00%	25.00%	0.15
Quiz 2: Números complejos	5.00	100.00%	25.00%	0.15
Quiz 4: Series de Taylor	5.00	100.00%	25.00%	0.15
Quiz 5	El docente no lo realizó.		0.00%	0.00
Quiz 6	El docente no lo realizó.		0.00%	0.00
Quiz 7	El docente no lo realizó.		0.00%	0.00
Nota final	5.00	100.00%	100.00%	0.60
				
				
QUIM 1103, 2: Química	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
QUIM 1104, 26: Laboratorio de Química	4.93	98.57%	30.00%	0.90
Examen parcial 1: Nomenclatura y estequeometría	5.00	100.00%	14.00%	0.42
Quiz 1: Ecuaciones molecular, iónica y iónica neta	5.00	100.00%	2.00%	0.06
Examen parcial 2: Estequeometría y Redox	5.00	100.00%	14.00%	0.42
Examen parcial 3	5.00	100.00%	14.00%	0.42
Quiz 2: Equilibrio dinámico	5.00	100.00%	2.00%	0.06
Quiz 3: Soluciones reguladoras, solubilidad y pH	5.00	100.00%	3.00%	0.09
Examen final acumulativo	5.00	100.00%	21.00%	0.63
Punto extra: Prueba diagnóstica	0.10		0.00%	0.00
Nota final	4.98	99.57%	100.00%	3.00
Nota final más punto extra	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
QUIM 1104, 26: Laboratorio de Química	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Taller 1: Tratamiento estadístico de datos	5.00	100.00%	7.14%	0.06
Taller 2: Sistema Internacional de medidas	5.00	100.00%	7.14%	0.06
Informe 1: Técnicas básicas de laboratorio	5.00	100.00%	7.14%	0.06
Taller 3: Estequiometría y nomenclatura (LaTeX)	5.00	100.00%	7.14%	0.06
Informe 2: La ley de Charles	4.60	92.00%	7.14%	0.06
Informe 3: Electrólisis, Faraday y número de Avogadro	4.60	92.00%	7.14%	0.06
Informe 4: Estequiometría. Titulación ácido-base	5.00	100.00%	7.14%	0.06
Informe 5: Retrotitulación	5.00	100.00%	7.14%	0.06
Informe 6: Reacciones de óxido reducción	5.00	100.00%	7.14%	0.06
Taller 4: Enlace químico y estructura	4.80	96.00%	7.14%	0.06
Taller 5: Equilibrio químico	5.00	100.00%	7.14%	0.06
Informe 8: Constante de acidez y soluciones reguladoras	5.00	100.00%	7.14%	0.06
Informe 9: Determinación de la constante del producto de solubilidad, Kps	5.00	100.00%	7.14%	0.06
Informe 10: Cinética química	5.00	100.00%	7.14%	0.06
Nota final	4.93	98.57%	100.00%	0.90
Máxima nota final alcanzable a la fecha	4.93	98.57%	100.00%	
Mínima nota final alcanzable a la fecha	4.93	98.57%	100.00%	
				
				
FCIE 1010, 1: Introducción a las Ciencias (Ciclo 1 de 8 semanas)	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Padlet Semana 1 (Prólogo y capítulos 1-3)	5.00	100.00%	3.33%	0.07
Taller 1: Reconociendo la pseudociencia y desinformación en los medios de comunicación	4.55	91.00%	8.33%	0.17
Padlet Semana 2 (Capítulos 4-7)	5.00	100.00%	3.33%	0.07
Padlet Semana 3 (Capítulos 8-11)	5.00	100.00%	3.33%	0.07
Taller 4: ¿Cómo se comparan las seis ciencias de la facultad?	4.69	93.80%	8.33%	0.17
Padlet Semana 4 (Capítulos 12-15)	5.00	100.00%	3.33%	0.07
Taller 2: Pitágoras	5.00	100.00%	8.33%	0.17
Taller 3: En 10 años...	4.80	96.00%	8.33%	0.17
Taller 5: El quehacer científico y sus posibles consecuencias: Andrew Wakefield y el movimiento antivacunas	5.00	100.00%	8.33%	0.17
Padlet Semana 5 (Capítulos 16-19)	5.00	100.00%	3.33%	0.07
Debate	5.00	100.00%	10.00%	0.20
Taller 6: ¿Por qué se retractan los científicos?	4.50	90.00%	8.33%	0.17
Padlet Semana 6 (7) (Capítulo 20 y reflexión final)	5.00	100.00%	3.33%	0.07
Proyecto grupal	4.68	93.60%	20.00%	0.40
Nota final	4.81	96.29%	100.00%	2.00
Nota final con aproximación a la milésima	4.81	96.20%	100.00%	
Máxima nota final alcanzable a la fecha	4.81	96.20%	100.00%	
Mínima nota final alcanzable a la fecha	4.81	96.20%	100.00%	
				
				
CBCA 1329, 1: Filosofía de los Sueños y Adivinación en la Antigüedad	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Parcial 1	4.50	90.00%	50.00%	1.00
Materia retirada				
Nota final	4.50	90.00%	50.00%	1.00
Nota final con aproximación	4.50	90.00%	50.00%	
Máxima nota final alcanzable a la fecha	4.75	95.00%	100.00%	
Mínima nota final alcanzable a la fecha	2.25	45.00%	100.00%	
