Cuarto semestre: 2022-10
CBPC 1174, 01: Química, Leyes y Conceptos (Ciclo 1 de 8 semanas)	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Entrega 1: ¿Qué materia prima usaron los dioses para crear las cosas que hay en el mundo?	5.00	100.00%	5.00%	0.10
Entrega 2: ¿Cuál es la diferencia entre un alquimista y un químico?	5.00	100.00%	6.00%	0.12
Evaluación Parcial 1	4.58	91.67%	12.00%	0.24
Entrega 3: ¿Existe un elemento con el cual se pueden construir todas las cosas existentes?	5.00	100.00%	7.00%	0.14
Evaluación Parcial 2	5.00	100.00%	12.00%	0.24
Entrega 4: Repensando: ¿Cuál es la diferencia entre un alquimista y un químico?	5.00	100.00%	8.00%	0.16
Entrega 5: ¿Qué se necesitó para que la Química se convirtiera en ciencia?	5.00	100.00%	8.00%	0.16
Evaluación Parcial 3	4.58	91.67%	12.00%	0.24
Actividad 1, quiz: Videos semana 1	5.00	100.00%	2.86%	0.06
Actividad 2, quiz: Videos semana 2	4.00	80.00%	2.86%	0.06
Actividad 3: Control de lectura	5.00	100.00%	2.86%	0.06
Actividad 4, quiz: Video alquimia	5.00	100.00%	2.86%	0.06
Actividad 5, quiz: Videos oxígeno y pila voltaica	4.00	80.00%	2.86%	0.06
Actividad 6, 8 pares de isómeros de glucosa 	5.00	100.00%	2.86%	0.06
Actividad 7, 3 volumenes de hidrógeno y uno de nitrgógeno dan 2 de amoniaco 	5.00	100.00%	2.86%	0.06
Evaluación corta 1: El bronce es aleación de cobre y estaño	5.00	100.00%	2.00%	0.04
Evaluación corta 2: Valor de pi para egipcios y Washington Irving	5.00	100.00%	2.00%	0.04
Evaluación corta 3: Gas pingüe y significado de "flogisto"	5.00	100.00%	2.00%	0.04
Evaluación corta 4: Aire desflogisticado (oxígeno) 	5.00	100.00%	2.00%	0.04
Evaluación corta 5: Estados de oxidación y Ley de Avogadro	5.00	100.00%	2.00%	0.04
Bonos por realización de quizzes	0.70			
Nota final sin bonos	4.84	96.86%	100.00%	1.63
Nota final	5.54	110.86%	100.00%	
Nota final aproximada a dos decimales	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
CBPC 1176, 01: Introducción al Pensamiento Computacional (Ciclo 1 de 8 semanas)	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Bono 0.3: Video corto de presentación personal	Realizado		0.00%	0.00
Bono 0.3: Verdadero o falso sobre presentación personal	Realizado		0.00%	0.00
Escrito inicial	4.80	96.00%	15.00%	0.45
CL1: Hansel y Gretel	4.00	80.00%	1.07%	0.03
Bono 0.3: Describir en formulario un algoritmo que utilice en su vida diaria	Realizado		0.00%	0.00
CL2: Estructuras de Datos	4.00	80.00%	1.07%	0.03
Bono: Usos de las Estructuras de Datos	Realizado		0.00%	0.00
CL3: Ordenamiento	5.00	100.00%	1.07%	0.03
Bono: Ordenamientos en la vida cotidiana	Realizado		0.00%	0.00
CL4: Estructuras de Control	5.00	100.00%	1.07%	0.03
CL5: Recursión	5.00	100.00%	1.07%	0.03
Bono IPC: Usos de la Recursión	Realizado		0.00%	0.00
CL6: Abstracción	4.00	80.00%	1.07%	0.03
Bono IPC: Abstracción en vida cotidiana	Realizado		0.00%	0.00
CL7: Lenguajes	5.00	100.00%	1.07%	0.03
Bono IPC: Lenguajes cotidianos similares a lenguajes de programación	Realizado		0.00%	0.00
CLE1: Algorithmic Inequity	5.00	100.00%	1.07%	0.03
CLE2: Pensamiento Deductivo (P)	5.00	100.00%	1.07%	0.03
CLE3: Pensamiento Inductivo (P)	5.00	100.00%	1.07%	0.03
CLE4: Seguridad en automóviles y máquinas	5.00	100.00%	1.07%	0.03
CLE5: The Recursive Universe	5.00	100.00%	1.07%	0.03
CLE6: Meritocracia	5.00	100.00%	1.07%	0.03
CLE7: Select One	5.00	100.00%	1.07%	0.03
Ejercicio individual 1	5.00	100.00%	1.07%	0.03
Ejercicio individual 2	5.00	100.00%	1.07%	0.03
Ejercicio individual 3	5.00	100.00%	1.07%	0.03
Ejercicio individual 4	5.00	100.00%	1.07%	0.03
Ejercicio individual 5	5.00	100.00%	1.07%	0.03
Ejercicio individual 6	5.00	100.00%	1.07%	0.03
Ejercicio individual 7	5.00	100.00%	1.07%	0.03
Trabajo de aplicación 1	5.00	100.00%	2.14%	0.06
Trabajo de aplicación 2	5.00	100.00%	2.14%	0.06
Trabajo de aplicación 3	5.00	100.00%	2.14%	0.06
Trabajo de aplicación 4	5.00	100.00%	2.14%	0.06
Trabajo de aplicación 5	5.00	100.00%	2.14%	0.06
Trabajo de aplicación 6	5.00	100.00%	2.14%	0.06
Trabajo de aplicación 7	5.00	100.00%	2.14%	0.06
Ejercicio grupal 1	5.00	100.00%	1.07%	0.03
Ejercicio grupal 2	4.50	90.00%	1.07%	0.03
Ejercicio grupal 3	5.00	100.00%	1.07%	0.03
Ejercicio grupal 4	5.00	100.00%	1.07%	0.03
Ejercicio grupal 5	5.00	100.00%	1.07%	0.03
Ejercicio grupal 6	5.00	100.00%	1.07%	0.03
Ejercicio grupal 7	5.00	100.00%	1.07%	0.03
Ética individual 1	5.00	100.00%	1.07%	0.03
Ética individual 2	5.00	100.00%	1.07%	0.03
Ética individual 3	5.00	100.00%	1.07%	0.03
Ética individual 4	5.00	100.00%	1.07%	0.03
Ética individual 5	5.00	100.00%	1.07%	0.03
Ética individual 6	5.00	100.00%	1.07%	0.03
Ética individual 7	5.00	100.00%	1.07%	0.03
Ética grupal 1	5.00	100.00%	1.07%	0.03
Ética grupal 2	5.00	100.00%	1.07%	0.03
Ética grupal 3	5.00	100.00%	1.07%	0.03
Ética grupal 4	5.00	100.00%	1.07%	0.03
