Cuarto semestre: 2022-10
Ética grupal 5	5.00	100.00%	1.07%	0.03
Ética grupal 6	5.00	100.00%	1.07%	0.03
Ética grupal 7	5.00	100.00%	1.07%	0.03
Video del Ensayo Final	1.00	20.00%	0.00%	0.00
Ensayo final	5.00	100.00%	25.00%	0.75
Coteo de bonos 7/7	1.00			
Nota final sin bonos	4.93	98.65%	100.00%	3.00
Nota final con bonos y excedente	5.93	118.65%	100.00%	3.00
Nota final	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
ISIS 1226, 03: Diseño y Programación Orientada a Objetos	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Taller 0: Introducción a Java	5.00	100.00%	1.00%	0.03
Taller 1: Programación Orientada a Objetos en Java	3.50	70.00%	2.00%	0.06
Taller 2: Análisis	3.90	78.00%	2.00%	0.06
Proyecto 1, entrega 1 de 3: Análisis	4.25	85.00%	4.00%	0.12
Taller 3: Roles, responsabilidades y colaboraciones 	No se hizo	0.00%	0.00%	0.00
Proyecto 1, entrega 2 de 3: Diseño	4.65	93.00%	4.00%	0.12
Examen parcial 1	4.80	96.00%	24.00%	0.72
Proyecto 1, entrega 3 de 3: Diseño final e implementación	4.70	94.00%	4.00%	0.12
Proyecto 2, entrega 1 de 2: Boceto	5.00	100.00%	2.00%	0.06
Taller 4: GUIs. Triqui! Mi primer videojuego.	5.00	100.00%	1.00%	0.03
Proyecto 2, entrega 2 de 2: Diseño e implementación	5.00	100.00%	10.00%	0.30
Taller 5: Patrones	5.00	100.00%	2.00%	0.06
Taller 6: Errores y Excepciones	4.75	95.00%	4.00%	0.12
Proyecto 3, entrega 1 de 2: Diseño	4.80	96.00%	6.00%	0.18
Taller 7: Implementación de Pruebas unitarias	No se hizo	0.00%	0.00%	0.00
Examen parcial 2	4.90	98.00%	24.00%	0.72
Proyecto 3, entrega 2 de 2: Implementación	5.00	100.00%	10.00%	0.30
Nota final	4.80	95.96%	100.00%	3.00
Nota final con política de aproximación	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha (sin política de aproximación)	4.80	95.96%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha (sin política de aproximación)	4.80	95.96%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
ISIS 1304, 03: Infraestructura Tecnológica	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Parcial 1	5.00	100.00%	32.50%	0.98
Parcial 2	4.93	98.62%	32.50%	0.98
Preevaluación 1	5.00	100.00%	-%	0.00
Preevaluación 2	5.00	100.00%	-%	0.00
Preevaluación 3: Traducción a Assembler: Control	4.33	86.60%	-%	0.00
Trabajo práctico 1	4.70	94.00%	5.00%	0.15
Trabajo práctico 2	4.85	97.00%	5.00%	0.15
Trabajo práctico 3	5.00	100.00%	5.00%	0.15
Trabajo práctico 4	5.00	100.00%	5.00%	0.15
Trabajo práctico 5	5.00	100.00%	10.00%	0.30
Puntos	11.00		-%	0.00
Participación en clase 1 (32 puntos)	5.00	100.00%	2.50%	0.08
Bono participación en clase 1	0.125			
Participación en clase 2	5.00	100.00%	2.50%	0.08
Bono participación en clase 2	0.125			
Nota final sin bonos de participación	4.96	99.10%	100.00%	3.00
Nota final con bonos y excedente	5.21	104.10%	100.00%	
Nota final	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	4.96	99.20%	100.00%	
Mínima nota final alcanzable a la fecha	4.96	99.20%	100.00%	
				
				
ISIS 1404, 08: TI en las Organizaciones (Tipo E)	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Examen Parcial 1 	4.1	82.00%	0.00%	0.00
Examen Parcial 2	4.89	97.85%	14.00%	0.42
Examen Parcial 3	4.40	88.00%	10.00%	0.30
Ejercicio 1: Fuerzas de Porter	5.00	100.00%	0.33%	0.01
Ejercicio BMM	5.00	100.00%	0.33%	0.01
Ejercicio Canvas	5.00	100.00%	0.33%	0.01
Ejercicio Cadena de Valor Uniandes	5.00	100.00%	0.33%	0.01
Taller de oralidad	Entregado	0.00%	0.00%	0.00
Quiz en clase	5.00	100.00%	0.33%	0.01
Quiz de asistencia	5.00	100.00%	0.33%	0.01
Escenario 1	5.00	100.00%	2.00%	0.06
Escenario 2	5.00	100.00%	2.00%	0.06
Escenario 3: SAP	5.00	100.00%	2.00%	0.06
Escenario 4: Power BI	5.00	100.00%	2.00%	0.06
Proyecto - P1 Grupal	4.87	97.44%	9.00%	0.27
Proyecto - P0 Ejercicio comparación CO 	5.00	100.00%	3.00%	0.09
Proyecto - P1 Individual - Plan de texto	4.65	93.02%	3.00%	0.09
Proyecto - P1 Individual - Versión inicial	4.68	93.60%	5.00%	0.15
Proyecto - P1 Individual - Versión final	5.00	100.00%	10.00%	0.30
Proyecto - P2 Grupal	4.85	97.00%	9.00%	0.27
Proyecto - P2 Individual - Bibliografía comentada	4.46	89.20%	5.00%	0.15
Proyecto - P2 Individual - Versión final	5.00	100.00%	12.00%	0.36
0.5 puntos en Parcial 1 por ser estudiante con más bonos (21)	4.60	92.00%	10.00%	0.30
Nota final	4.81	96.13%	100.00%	3.00
Nota final con aproximación a la milésima	4.81	96.20%	100.00%	
Máxima nota final alcanzable a la fecha	4.81	96.20%	100.00%	
Mínima nota final alcanzable a la fecha	4.81	96.20%	100.00%	
				
				
LENG 1302, 02: Alemán 2	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Quiz 1	5.00	100.00%	1.00%	0.03
Quiz 2	5.00	100.00%	1.00%	0.03
Quiz 3	5.00	100.00%	1.00%	0.03
Quiz 4	5.00	100.00%	1.00%	0.03
Quiz 5	5.00	100.00%	1.00%	0.03
Proyecto 1 Entrega 1	5.00	100.00%	5.00%	0.15
Proyecto 1: Infomercial	5.00	100.00%	5.00%	0.15
Proyecto 2: Karaoke	5.00	100.00%	5.00%	0.15
Plataforma corte 1	5.00	100.00%	5.00%	0.15
Plataforma corte 2	4.80	96.00%	5.00%	0.15
Plataforma corte 3	5.00	100.00%	5.00%	0.15
Participación y asistencia 1	5.00	100.00%	5.00%	0.15
Participación y asistencia 2	5.00	100.00%	5.00%	0.15
Frankenstein 1	5.00	100.00%	2.50%	0.08
Frankenstein 2	5.00	100.00%	2.50%	0.08
Übungsbuch (Bono nota tests)	No lo completé		0.00%	0.00
Bloque Neón (V) (Bono nota de trabajo en plataforma)	5 insignias		0.00%	0.00
Oraciones de las camisetas o los fondos (Bono nota cartilla)	No lo completé		0.00%	0.00
Quizlet (Bono nota participación)	No lo completé		0.00%	0.00
Examen parcial 1	4.80	96.00%	15.00%	0.45
Examen parcial 2	5.00	100.00%	15.00%	0.45
Examen parcial 3	4.60	92.00%	20.00%	0.60
Nota final	4.88	97.60%	100.00%	3.00
Nota final con aproximación a la milésima	4.88	97.60%	100.00%	
Máxima nota final alcanzable a la fecha	4.88	97.60%	100.00%	
Mínima nota final alcanzable a la fecha	4.88	97.60%	100.00%	
				
				
MATE 1207, 20: Cálculo Vectorial	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria MATE 1207, 20: Cálculo Vectorial	5.00	100.00%	25.00%	0.75
Parcial 1: Derivación	4.67	93.33%	0.00%	0.00
Parcial 2: Integración	5.00	100.00%	25.00%	0.75
Justificación del parcial 2: Bono de 1 punto en el parcial 1 (porque saqué 5 en el 2)	Bono Completo			
Parcial 1 con bono	5.00	100.00%	25.00%	0.75
Examen Final	5.00	100.00%	25.00%	0.75
Nota final	5.00	100.00%	100.00%	3.00
Nota final con aproximación a la milésima	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
MATE 1207, 20: Cálculo Vectorial 	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Taller 1 Parte 1	5.00	100.00%	10.00%	0.08
Bono complementaria N. 4 (3 de febrero)	Ganado			0.00
Taller 1 Parte 2	5.00	100.00%	10.00%	0.08
Taller 1 Parte 3	5.00	100.00%	10.00%	0.08
Taller 2 Parte 1	5.00	100.00%	10.00%	0.08
Taller 3 Parte 1	5.00	100.00%	10.00%	0.08
Taller 3 Parte 2	5.00	100.00%	10.00%	0.08
Taller Parte 4	5.00	100.00%	10.00%	0.08
Taller 4 Parte 1	5.00	100.00%	10.00%	0.08
Taller 4 Parte 2	5.00	100.00%	10.00%	0.08
Taller 4 Parte 3	5.00	100.00%	10.00%	0.08
Nota final	5.00	100.00%	100.00%	0.75
